"","country","county","murders"
"1","us","St. Louis city, MO",119
"2","us","Crittenden County, AR",8
"3","us","Alexander County, IL",1
"4","us","Kenedy County, TX",0
"5","us","De Soto Parish, LA",3
"6","us","Baltimore city, MD",216
"7","us","Shelby County, TN",135
"8","us","Marlboro County, SC",3
"9","us","Storey County, NV",0
"10","us","District of Columbia, DC",88
"11","us","Dillon County, SC",8
"12","us","Scott County, MO",2
"13","us","Philadelphia County, PA",332
"14","us","Pershing County, NV",0
"15","us","Greenwood County, SC",7
"16","us","Madison County, TN",13
"17","us","Davidson County, TN",65
"18","us","Marion County, IN",102
"19","us","Wayne County, MI",433
"20","us","Jackson County, MO",116
"21","us","Northwest Arctic Borough, AK",0
"22","us","Pemiscot County, MO",0
"23","us","Iberville Parish, LA",5
"24","us","Pulaski County, AR",61
"25","us","Jefferson County, AR",14
"26","us","Miller County, AR",1
"27","us","Muskogee County, OK",3
"28","us","Barnwell County, SC",5
"29","us","Tangipahoa Parish, LA",11
"30","us","Marion County, SC",8
"31","us","Dillingham Census Area, AK",0
"32","us","Dougherty County, GA",4
"33","us","Carter County, OK",4
"34","us","Genesee County, MI",69
"35","us","Macon County, AL",6
"36","us","Milwaukee County, WI",103
"37","us","Richland County, SC",24
"38","us","Grundy County, TN",3
"39","us","Greene County, AL",0
"40","us","Rock County, MN",0
"41","us","San Joaquin County, CA",89
"42","us","Pottawattamie County, IA",1
"43","us","Nolan County, TX",0
"44","us","Kodiak Island Borough, AK",0
"45","us","Winnebago County, IL",15
"46","us","Suffolk County, MA",60
"47","us","Saginaw County, MI",29
"48","us","Dallas County, AL",9
"49","us","Fulton County, GA",123
"50","us","Anchorage Municipality, AK",15
"51","us","Madison County, FL",1
"52","us","Phillips County, AR",1
"53","us","Sangamon County, IL",40
"54","us","Haywood County, TN",0
"55","us","Lucas County, OH",40
"56","us","Robeson County, NC",13
"57","us","Meade County, KS",0
"58","us","Escambia County, FL",22
"59","us","Jefferson County, AL",85
"60","us","Nicholas County, WV",1
"61","us","Franklin County, FL",1
"62","us","St. Clair County, IL",28
